station,latitude,longitude
"Alipur, Delhi - DPCC",28.815329,77.15301
"Ashok Vihar, Delhi - DPCC",28.695381,77.181665
"Aya Nagar, Delhi - IMD",28.4706914,77.1099364
"Bawana, Delhi - DPCC",28.7762,77.051074
"Chandni Chowk, Delhi - IITM",28.656756,77.227234
"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992
"Patparganj, Delhi - DPCC",28.623763,77.287209
"Punjabi Bagh, Delhi - DPCC",28.674045,77.131023
"Pusa, Delhi - DPCC",28.639652,77.146275
"Pusa, Delhi - IMD",28.63611,77.173332
"R K Puram, Delhi - DPCC",28.563262,77.186937
"Rohini, Delhi - DPCC",28.732528,77.11992
"Mundka, Delhi - DPCC",28.684678,77.076574
"NSIT Dwarka, Delhi - CPCB",28.60909,77.0325413
"NSUT Jaffarpur, Delhi - DPCC",28.594004,76.909423
"Najafgarh, Delhi - DPCC",28.570173,76.933762
"Nehru Nagar, Delhi - DPCC",28.56789,77.250515
"Jahangirpuri, Delhi - DPCC",28.73282,77.170633
"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58028,77.233829
"Lodhi Road, Delhi - IMD",28.5918245,77.2273074
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.611281,77.237738
"Mandir Marg, Delhi - DPCC",28.636429,77.201067
"Shadipur, Delhi - CPCB",28.6514781,77.1473105
"Sonia Vihar, Delhi - DPCC",28.710508,77.249485
"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156
"DTU, Delhi - CPCB",28.7500499,77.1112615
"Vivek Vihar, Delhi - DPCC",28.672342,77.31526
"Wazirpur, Delhi - DPCC",28.699793,77.165453
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447
"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255
"IHBAS, Dilshad Garden, Delhi - CPCB",28.6811736,77.3025234
"IIT Delhi, Delhi - IITM",28.54246,77.191651
"Anand Vihar, Delhi - DPCC",28.647622,77.315809
"Burari Crossing, Delhi - IMD",28.7256504,77.2011573
"CRRI Mathura Road, Delhi - IMD",28.5512005,77.2735737
"IGI Airport (T3), Delhi - IMD",28.5627763,77.1180053
"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159
"ITO, Delhi - CPCB",28.628624,77.24106
"JNU, Delhi - DPCC",28.540721,77.168544
"Narela, Delhi - DPCC",28.822836,77.101981
"Sirifort, Delhi - CPCB",28.5504249,77.2159377
"Dr. Karni Singh Shooting Range, Delhi - DPCC",28.498571,77.26484
"Cantonment Area, Delhi - DPCC ",28.594169,77.1251
"Dwarka-Sector 8, Delhi - DPCC ",28.5710274,77.0719006
"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633
